message,commit_type
Suppress act/renderer warning for DevTools tests,Other
Removed forked DevTools Flow types,Other
Removed outdated snapshot,Other
CI runs DevTools tests against built source,Other
[react-events] Support screen reader virtual clicks (#16584),Other
Disabled DevTools tests from yarn-build target,Other
Fixed remaining DevTools broken tests by fixing a hydration/spread bug,Bug Fix
Fix Console patching test by resetting modules,Bug Fix
Updated DevTools test setup to no longer mock test renerer,Other
Iterating on DevTools tests: Trying to run tests against pre-build react-dom and react-test-renderers,Other
Fixed flushing problem with tests,Bug Fix
Merged changes from 4.0.5 -> 4.0.6 from DevTools fork,Other
Merge branch 'source' of github.com:bvaughn/react-devtools-experimental,Other
Configured CI to run DevTools tests. Updated other test configs not to include DevTools tests.,Other
Merge branch 'master' into devtools-v4-merge,Other
React DevTools CHANGELOG entry for 4.0.6,Other
4.0.5 -> 4.0.6,Other
Added a null check around memoizedProps,Feature
Polyfill Symbol usage,Other
[react-events] Ensure updateEventListeners updates in commit phase (#16540),Other
[Scheduler] Profiler Features (second try) (#16542),Feature
[react-events] Rename hook exports (#16533),Other
[react-events] Fix middle-click for Press (#16546),Bug Fix
Only warn in case the fourth argument is a function (#16543),Other
[Partial Hydration] Dispatching events should not work until hydration commits (#16532),Other
Fixed outdated extension popup wording,Bug Fix
Remove emoji prefix from Firefox extension tab labels,Bug Fix
Renamed DevTools Jest config to be more concistent with others,Other
eslint-plugin-react-hooks@2.0.1,Other
Clear canceled task node early (#16403),Other
Bump ESLint plugin to 2.0 (#16528),Other
[react-events] Rely on 'buttons' rather than 'button' (#16479),Other
"Revert ""Revert ""[ESLint] Forbid top-level use*() calls (#16455)"""" (#16525)",Other
"Revert ""[ESLint] Forbid top-level use*() calls (#16455)"" (#16522)",Other
Flow fixes,Bug Fix
Add custom DevTools Flow definitions to shared flowconfig,Feature
Moved DevTools custom Flow definitions,Other
Merged changes from 4.0.0 -> 4.0.5 from DevTools fork,Other
Merge branch 'source' of github.com:bvaughn/react-devtools-experimental,Other
Merge branch 'master' into devtools-v4-merge,Other
Update CHANGELOG.md (#16439),Other
fix typo in CHNAGELOG.md (#16447),Bug Fix
Fix spelling in react-devtools CHANGELOG.md (#16448),Bug Fix
Fixed invalid object-assign version (4.0.4 -> 4.0.1),Bug Fix
Improved GitHub issue repro instructions prompt,Other
"Add ""hydrationOptions"" behind the enableSuspenseCallback flag (#16434)",Feature
Fix message loop behavior when host callback is cancelled (#16407),Bug Fix
[ESLint] Forbid top-level use*() calls (#16455),Other
Throw on unhandled SSR suspending (#16460),Other
[Flare] Rework the responder dispatching/batching mechanism (#16334),Other
Updated React DevTools changelog for 4.0.5,Other
4.0.4 -> 4.0.5,Other
[react-events] DOM event testing library (#16433),Other
Alpha-sort props/state/context keys,Other
Fixed standalone target not properly serving backend over localhost:8097,Bug Fix
Resolved Yarn conflict for object-assign,Other
Added DevTools 4.0.4 CHANGELOG entry,Feature
4.0.3 -> 4.0.4,Other
Profiler bugfix for filtering out all commits after selecting a fiber,Bug Fix
Updated DevTools CHANLOGE to add an unreleased change,Feature
Fixed standalone bug that prevented backend from being served over localhost:8097,Bug Fix
"Added 4.0.1, 4.0.2, and 4.0.3 changelog entries (#16438)",Feature
4.0.2 -> 4.0.3,Other
Unserializable data type fix for standalone shell,Bug Fix
"Added support for unserializable types (e.g. Set/Map, Immutable)",Feature
Caps lock bug template request for repro steps :),Bug Fix
Added explicit (empty) label next to empty arrays and objects,Feature
Support single-quote strings in style editor,Other
Improved editing props demo experience for TODO list,Other
Display hook values for components that only use context,Other
Multi-renderer profiling improvements,Other
Prettier,Other
"Added Set+Map to dev shell, even though we don't support deep inspecting them yet",Feature
[DevTools Changelog] Add a note on 4.0.2,Feature
4.0.1 -> 4.0.2,Other
Refactored to remove need for new webNavigation permission,Refactor
4.0.0 -> 4.0.1,Other
Removed some unnecessary manifest permissions,Other
[DevTools Changelog] Add a note about restoring selection (#16409),Feature
Changed version name string to show version and date. Moved commit number into description string.,Other
Bumped all versions to 4.0.0,Other
4.0.0-alpha.9 -> 4.0.0-alpha.10,Other
Added OVERVIEW.md and updated CHANGELOG to point to it (#16405),Feature
Updated all GitHub links to point to React repo,Other
Added release date to DevTools CHANGELOG,Feature
[react-events] Press: improve test coverage (#16397),Other
Merge branch 'master' into devtools-v4-merge,Other
Add DevTools package placeholder package.json,Feature
Added CHANGELOG and READMEs for DevTools v4 NPM packages (#16404),Feature
Made some incremental progress on Jest tests,Other
"Disable @babel/plugin-transform-block-scoping ""throwIfClosureRequired"" option for tests",Other
Removed unused __TEST__ files,Other
Add explicit MIT license file (previously only in package.json),Feature
print-warnings script should ignore DevTools packages,Other
Merge branch 'master' into devtools-v4-merge,Other
Added better error reporting for print-warnings errors (#16394),Feature
"Revert ""[Scheduler] Profiling features (#16145)"" (#16392)",Feature
Removed (no longer necessary) node->node-events mapping,Other
Add build-info.json to package files array for non-private DT packages,Feature
Update react-devtools-inline to embed react-debug-tools since it's not published yet,Bug Fix
Patched up react-devtools-core Webpack configs,Other
Fixed web extensions,Bug Fix
Iterated on Webpack configs until I got the inline and shell packages seemingly working,Other
Merged master (with events -> legacy-events package rename),Other
"Rename legacy ""events"" package to ""legacy-events"" (#16388)",Other
[eslint-plugin-react-hooks] Fixed crash when referencing arguments in arrow functions. (#16356),Bug Fix
chore: make tests compatible with Jest 24 (#15779),Other
chore: add eslint-plugin-jest's valid-expect rule (#16332),Feature
Cleaned up some extnesions build script stuff,Other
Moved OVERVIEW,Other
Moved CHANGELOG,Other
Fixed a bunch of Lint issues,Bug Fix
[Scheduler] Profiling features (#16145),Feature
Partial support for React.lazy() in server renderer. (#16383),Other
[Partial Hydration] Attempt hydration at a higher pri first if props/context changes (#16352),Other
Prettier,Other
Moved shell fixture into packages/react-devtools-shell,Bug Fix
Prettier,Other
Misc Flow and import fixes,Bug Fix
Reorganized folders into packages/*,Other
Make component stack last argument for deprecation warnings (#16384),Other
"Remove ""Waiting for async callback"" User Timing measurement (#16379)",Other
Cleanup Babel PR (ReactFreshPlugin) (#16340),Other
[CI] Disable coverage (#16380),Other
Reorganized things again into packages,Other
Reorganized fixtures,Bug Fix
Updated yarn.lock file,Other
Moved dev shell into fixtures/devtools,Bug Fix
Merge remote-tracking branch 'devtools-merge/master' into devtools-v4-merge,Other
Reorganized to avoid merge conflicts with React repo folder structure,Other
Merging DevTools fork,Other
Initializing empty merge repo,Other
Add test case for #16359 (#16371),Feature
Dehydrated suspense boundaries in suspense list (#16369),Other
Refactor Partial Hydration (#16346),Refactor
Fix typo in error code map (#16373),Bug Fix
Remove unused import,Other
Remove flag that reverts #15650 (#16372),Other
Reset didReceiveUpdate in beginWork (#16359),Other
[react-events] Fix keyboard responder test (#16368),Bug Fix
4.0.0-alpha.8 -> 4.0.0-alpha.9,Other
Misc. Profiler tweaks,Other
Fixed a selection-sync edge case for Elements/Components tabs,Bug Fix
[react-events] Focus/FocusWithin responders with fallbacks (#16343),Other
Fixed raw-loader + Jest problem,Bug Fix
Fixed a couple of edge case styling and layout issues I noticed while testing the inline target,Bug Fix
Make SchedulerMinHeap flow strict (#16351),Other
[Scheduler] Temporarily remove wrapper function (#16345),Other
Release script supports publishing a subset of packages (#16338),Other
Upgrade ESLint so we can use JSX Fragment syntax (#16328),Other
Mark spawned work for client-rendered suspense boundary (#16341),Other
[react-events] Refactor unit tests for Hover (#16320),Refactor
fix some missing assertions (#16336),Bug Fix
[act] remove obsolete container element (#16312),Other
use a different link in the UNSAFE_ component warnings (#16321),Other
Add use-subscription to Rollup bundle config (#16326),Feature
Babel 7 (#16297),Other
[Scheduler] Store Tasks on a Min Binary Heap (#16245),Other
Bump deps in packages/**/package.json (#16325),Other
Prepare use-subscription v1 for publishing (#16324),Other
Bump package.json versions,Other
Changelog for 16.9 (#16254),Other
[Flare] Remove contextmenu logic from Press (#16322),Other
[Fresh] Support multiple renderers at the same time (#16302),Other
Reset hydration state after reentering (#16306),Other
Ensure Fundamental flags are added to more locations (#16311),Feature
Nit: fix inconsistent spacing in a warning (#16310),Bug Fix
Warn when Using String Refs (#16217),Other
[Flare] Adds support for hydrating host components with listeners (#16304),Feature
README typofix,Bug Fix
4.0.0-alpha.7 -> 4.0.0-alpha.8,Other
[react-events] Separate the Focus/FocusWithin unit tests (#16298),Other
[react-events] Add ContextMenu responder (#16296),Feature
Added not about sync/batched root API being required,Feature
Handle case where :root styles aren't (yet) applied when SettingsContext mounts,Other
Fix hydration bug with nested suspense boundaries (#16288),Bug Fix
Inline package tweaks: * Ignore messages from the DevTools browser extension. * Cleanup/clarify README,Other
warn if you try to use act() in prod (#16282),Other
chore: remove outdated comment about gcc (#16232),Other
New NPM package react-devtools-inline (#363),Other
feat: match HOC display names during search (#360),Other
Suppress known/expected warnings and errors in local DEV shell,Other
Refactor inspect/select logic so that $r contains hooks data (#364),Refactor
Rendering tasks should not jump the queue (#16284),Other
BugFix: Suspense priority warning firing when not supposed to (#16256),Bug Fix
[Flare] useListener -> useResponder (#362),Other
Don't let a DevTools or React internal error interfere with logging.,Other
Updated Flow type for DevTools tab id,Other
Fix priority of clean-up function on deletion (#16277),Bug Fix
[SuspenseList] Bug fix: Reset renderState when bailing out (#16278),Bug Fix
Add a feature flag to disable legacy context (#16269),Feature
Add test of scheduler overhead (#16260),Feature
[Flare] Tweaks to Flare system design and API (#16264),Other
NPM package versions 4.0.0-alpha.5 -> 4.0.0-alpha.6,Other
Added CHANGELOG entries for HOC badges and no in-line props,Feature
Element keys are selectable text,Other
Updated OVERVIEW doc,Documentation
Updated CHANGELOG based on Dan's feedback,Other
Added dynamic indentation to change log,Feature
Removed the Profiler screenshot capture feature,Feature
"Add ""Welcome to the new DevTools"" notification",Feature
Added CHANGELOG,Feature
Remove FocusScope (#16267),Other
Add missing check to unmocked Scheduler warning (#16261),Feature
[act] Wrap IsThisRendererActing in DEV check (#16259),Other
Bugfix:  Effects should never have higher than normal priority (#16257),Bug Fix
flush fallbacks in tests (#16240),Other
Warn when rendering tests in concurrent/batched mode without a mocked scheduler (#16207),Other
[Flare] Remove delay props from Hover (#16248),Other
[Flare] Remove delay props from Press (#16247),Other
[Flare] Ensure we check for bad polyfill when creating responders (#16243),Other
[Flare] Remove longpress from press responder (#16242),Other
[Fresh] Transfer refs when remounting (#16241),Other
Added missing Flow header,Feature
Re-add try/catch inside Agent's getIDForNode(),Feature
Allow Inspecting Elements Within Iframes (#355),Other
Reverted a Webpack config change that broke browser extension styles,Other
Tweaked recent search changes,Other
Feature: tweak search behaviour (#353),Feature
"[scheduler] Yield many times per frame, no rAF (#16214)",Other
[Flare] Fix SSR issue with serializing responders prop (#16227),Bug Fix
[Bugfix] Check tag before calling hook effects (#16215),Bug Fix
NPM package versions 4.0.0-alpha.4 -> 4.0.0-alpha.5,Other
react-devtools-core standalone bugfix: prevent electron crash,Bug Fix
Don't hyphenate custom CSS properties for ReactDOMServer (#16167),Other
[act] flush work correctly without a mocked scheduler (#16223),Other
Update use-subscription README (#16216),Other
[Scheduler] Test browser implementation details (#16198),Other
Warn when Using DefaultProps on Function Components (#16210),Other
Re-enabled packages backend build to be production mode (whoops),Other
4.0.0-alpha.3 -> 4.0.0-alpha.4,Other
[Flare] Adds Keyboard event responder (#16204),Feature
"Re-enable ""view source"" button for standalone shell",Other
Flow type cleanup,Other
[Flare] Adds useListener implementation to ReactDebugHooks (#16205),Bug Fix
[Flare] Remove the old EventComponent/EventTarget system (#354),Other
[Flare] Remove references to EventComponent (#16206),Other
"Support new Flare hook, unstable_useListener",Other
update legacy context warning message (#16196),Other
Reverted style-prop hiding change because it caused a regression in the browser extension,Other
4.0.0-alpha.2 -> 4.0.0-alpha.3,Other
Make style editor inputs more obvious resemble inputs,Other
Add guard to ensure Profiler onRender prop is function before calling (#16197),Feature
"Hide ""style"" prop if we are showing the style editor",Other
Disable view-source button in standalone mode if no project roots are provided,Other
Updated snapshot,Other
4.0.0-alpha.1 -> 4.0.0-alpha.2,Other
Misc improvements based on user feedback from Tim,Other
Removed accidental log statement,Other
"Fix suspenseCallback type warning, add a test (#16194)",Bug Fix
[Flare] Ensure Flare components are no-ops for TestRenderer (#16192),Other
Edit Suspense Priority Warning Message (#16186),Other
Add suspenseCallback feature for runtime tracing of loading states (#16134),Feature
"flush work on exiting outermost act(), with nested act()s from different renderers (#16181)",Other
[Flare] Redesign core event system (#16163),Other
[Scheduler] Add names to inline functions (#16180),Feature
[Scheduler][Bugfix] Multiple rAFs in same frame (#16184),Bug Fix
Enable profiler+tracing for test renderer (#16178),Other
[Fresh] Track unrecoverable errors (#16183),Other
Fixed a module resolution issue and a syntax error from a bad merge,Bug Fix
[Flare] Press: fix keyboard interactions (#16179),Bug Fix
Update Suspense Priority Warning to Include Component that Triggered Update (#16030),Other
[WIP][Scheduler] Use rIC to post first callback (#16166),Other
[Scheduler] Bugfix: Cancelling a continuation (#16151),Bug Fix
NPM packages 4.0.0-alpha.0 -> 4.0.0-alpha.1,Other
[Flare] Ensure mouse events can use target to validate press (#16172),Other
Improve Bridge Flow types (#352),Other
Removed reference to setDefaultThemeName() method,Other
Make console override detectable (for RN YellowBox),Other
Adds experimental fundamental interface (#16049),Feature
Updating NPM packages as 4.0.0-alpha.0,Other
Slight tweak to avoid setting an invalid numeric value in props editor,Other
Merge branch 'fix-input-number-in-props' of https://github.com/koba04/react-devtools-experimental into koba04-fix-input-number-in-props,Bug Fix
Cleanup legacy backend event listener if modern backend is detected,Other
Make my code PRETTIER,Other
Tweaked modal font size style,Other
Tweaked modal title to better fit without wrapping,Other
Detect React Native v3 backend and show warning,Other
clean up nextEffect pointers (#16115),Other
[Flare] Add FocusWithin responder (#16152),Feature
Hardened logic around when and how to patch console methods,Other
[Flare] Add Input event responder surface (#16148),Feature
Patch console to append component stacks (#348),Other
useSubscription hook (#15022),Other
Move ReactFiberErrorDialog RN fork into RN itself (#16141),Other
"unify deprecated/unsafe lifecycle warnings, pass tests (#16103)",Other
Inject getCurrentFiber() function to DevTools (#16133),Other
fix to input a number value to props,Bug Fix
Standalone NPM packages and React Native support (#335),Other
Inject ReactDebugCurrentFrame into DevTools so it can append component stacks to warnings in DEV mode (#16127),Bug Fix
"Add tail=""hidden"" option to SuspenseList (#16024)",Feature
Remove React.error and React.warn (#16126),Other
.watchmanconfig must be valid json (#16118),Other
[Flare] Press: fix middle-click handling (#16114),Bug Fix
expose act() sigil correctly for umd builds (#16110),Other
Use Map instead of object as map in ReactNativeComponentTree (#16107),Other
[Scheduler] Support inferring priority from stack (#16105),Other
Add warning when single item or nested arrays are used with SuspenseList (#16094),Feature
[Flare] Press includes button type (#16100),Other
[Flare] Remove responder flags to simplify logic (#16084),Other
[Fabric] Add dispatchCommand to React Native renderers (#16085),Feature
[Flare] Switch from currentTarget model to responderTarget model (#16082),Other
[Flare] Revise responder event types (#16081),Other
Fix typos (#16076),Bug Fix
[Flare] Add currentTarget and unify RN and DOM codepaths (#16066),Feature
Merge pull request #342 from marvinhagemeister/attach_configure,Other
fix spelling error: resoltion ->  resolution (#16055),Bug Fix
[Flare] Clear pressStart timeout on pointercancel (#16067),Other
[Flare] Remove capture phase Flare events (#16054),Other
[Flare] createInitialState -> getInitialState (#16051),Other
[Flare] Remove dead event target code (#16063),Other
[Flare] Cleanup ReactFiberEvents-test (#16047),Other
[Fire] Remove unused React fire fork (#16046),Other
[fail] reset IsThisRendererActing correctly (#16042),Other
[fail] Only warn on unacted effects for strict / non sync modes (#16041),Other
[Flare] Add more functionality to Scroll event resonder (#16036),Feature
allow nested `act()`s from different renderers (#16039),Other
Clone a custom hook node before use (#16019),Other
[Flare] Do not block mouse presses on scroll (#16033),Other
"Add tail=""collapsed"" option to SuspenseList (#16007)",Feature
Flush sync bug (#16027),Bug Fix
Add comment about 3rd party integrations,Feature
Mark reload-and-profile attach as configurable,Other
SuspenseList Optimizations (#16005),Other
fix word async -> concurrent (#15844),Bug Fix
[Flare] Bring Flare support to React Native Fabric (#15887),Other
[Flare] Re-label Flare flag (#16014),Other
[Flare] Remove event targets including TouchHitTarget (#16011),Other
Handle changes at module boundaries (#16002),Other
Slightly improve performance of hydration. (#15998),Other
[Flare] Fix issues with touch + pointer interactions (#15997),Bug Fix
[Flare] Move click handling back into target phase (#15993),Other
Prefix mock Scheduler APIs with _unstable (#15999),Bug Fix
[Flare] Add Hooks to event modules (#15953),Feature
Fix error logging in getDerivedStateFromProps (#15797),Bug Fix
[Flare] Fix Press scroll cancellation handling (#15983),Bug Fix
[Flare] Move all event responders to dom directory (#15981),Other
Rename StatelessComponent to FunctionComponent in react-is/README.md (#15963),Other
eslint-plugin-react-hooks@1.6.1,Other
Add explicit support for ESLint 6.0.0 (#15974),Feature
don't fire missing act() warnings for react-art (#15975),Other
[Flare] Ensure Press event hook does not execute side-effects (#15976),Other
[Fresh] Retry failed roots on refresh (#15966),Other
Merge pull request #331 from trueadm/flare_displayName,Other
"followup to #15763, fix failing test in ReactDOMTracing-test (#15972)",Bug Fix
warn if passive effects get queued outside of an act() call. (#15763),Other
Report refreshed families to the caller (#15957),Other
Use function expression for custom Hook signature argument (#15956),Other
[Scheduler] Increase max frame length to 300,Other
[Scheduler] Fix navigator.isInputPending call,Bug Fix
[scheduler] Put isPendingInput behind a flag (#15962),Other
[Scheduler] requestPaint (#15960),Other
[Scheduler] Yield less if there's no pending input (#15959),Other
Expire rendering the tail of SuspenseList after a timeout (#15946),Other
[Flare] Refinements to useEvent hook (#15955),Other
[Fiber] Clear down dependencies during detachFiber (#15947),Other
[Flare] Guard against stateNode being null (#15952),Other
[Flare] Refine flow type annotations (#15950),Other
[Flare] Move createEvent back to React object (#15943),Other
Lazily initialize dependencies object (#15944),Other
[Flare] Add useEvent hook implementation (#15927),Feature
[Flare] Press: fix stale deactivation region state (#15931),Bug Fix
Make global names more obscure (#15941),Other
Add forwards and backwards options to SuspenseList (#15918),Feature
[Flare] Fix keyboard keyup regression (#15938),Bug Fix
Don't consider require-like calls to be likely HOCs (#15940),Other
[Fresh] Throw in prod and change annotation (#15939),Other
[act] reset scope depth on synchronous errors (#15937),Other
[Flare] Fix Press retention state regression (#15936),Bug Fix
Add SuspenseList Component (#15902),Feature
[Fresh] Track mounted roots via DevTools Hook (#15928),Other
[Scheduler] Integrated timers (#15911),Other
[Scheduler] Use continuation pattern for posting host callback (#15910),Other
Updated @reach/tooltip to v0.2.2 for a bugfix,Bug Fix
[Flare] Rename createEventComponent -> createEvent (#15929),Other
Changed Chrome manifest version from 4.0.0.0 to 4.0.0,Other
[Flare] Press events include defaultPrevented (#15916),Other
[Flare] Update event component displayName,Other
[Flare] Add RN build step for ReactTypes (#15926),Feature
Remove mention of Prepack (#15922),Other
Don't try to convert absolute paths to relative,Other
Added command to build Chrome CRX,Feature
[Flare] Move unstable_createEventComponent to ReactDOM (#15890),Other
Construct Error at invariant call site for clearer stack traces (#15877),Other
Display unnamed custom hooks as 'Anonymous',Other
[Flare] add disableContextMenu to Press (#15909),Feature
Fixed hydration for events meta data,Bug Fix
Tweaked overflow check,Other
Merge branch 'when-render-hidden' of https://github.com/justingrant/react-devtools-experimental into justingrant-when-render-hidden,Other
Merge pull request #325 from bvaughn/hydration,Other
Hardened the hooks dehydration check,Other
Tidied up. Added comments. Renamed a few things.,Feature
Debounce inspect-element polling,Other
Tidied up a bit,Other
Updated the hydration test harness to cover a bit more,Other
Hooks hydrate/dehydrate,Other
Added props/state/context inspection to KeyValue,Feature
[Fresh] Fall back to Map/Set if Weak equivalents are not available (#15907),Other
[Fresh] Rename findHostNodesForHotUpdate to findHostInstancesForHotUpdate (#15904),Other
Initial support for hydration added to both renderer interfaces.,Feature
Remove outdated test renderer comments (#15898),Other
[Fresh] react-fresh => react-refresh (#15888),Other
fix: ensure when-rendered content is never hidden,Bug Fix
Interaction tracing works across hidden and SSR hydration boundaries (#15872),Other
Fix outdated test comments (#15892),Bug Fix
[Suspense] Fix bad loading state not being delayed (#15891),Bug Fix
[Flare] remove stopLocalPropagation option + modify responder ownership (#15889),Other
[Flare] Refactor of Press to fix various issues (#15878),Bug Fix
[Fresh] Make transform resilient to plugin order (#15883),Other
[Suspense] Use style.setProperty to set display (#15882),Other
Fix fuzz test environment variable,Bug Fix
Remove disableYielding feature flag (#15654),Feature
Don't send HTMLElements through the bridge when inspecting componetns,Other
Updated React version check to account for older (<15) versions,Other
Updated hydration logic to handle custom objects,Other
Lintfix,Bug Fix
Support toggling Suspense from within owners list,Other
Merge pull request #320 from gaearon/own,Other
Fix owner tree for legacy backend,Bug Fix
Merge pull request #319 from gaearon/legacy-fix,Bug Fix
Distinguish functions and classes,Other
State and context are on the public instance,Other
Maintain rootID for lazily crawled trees,Other
Ignore SSR mounts,Other
[React Native] Replace touch discrepancy errors to warnings (#15866),Other
[Flare] Unsure root events are removed on contextmenu (#15862),Other
[Suspense] Use !important to hide Suspended nodes (#15861),Other
[Fresh] Implement missing features (#15860),Feature
Merge pull request #316 from gaearon/lighter,Other
Make children selection lighter,Other
Merge pull request #315 from bvaughn/settings,Other
Moved logic to only send updated filters across Bridge to the Store (and added tests),Feature
Removed console.log,Other
Remember last preferences tab via local storage,Other
Removed Settings panel in favor of new shared Settings modal,Other
Fixed minor border bug in Profiling tab toolbar,Bug Fix
[Flare] Move Press root event removal till click phase (#15854),Other
 [Flare] Listen to document.body + add stopPropagation to Press (#15853),Feature
Merge pull request #173 from bvaughn/legacy,Other
Nit,Other
Fixed regression fixtures,Bug Fix
Merge branch 'master' into legacy,Other
Added Flow type coverage for all EventEmitter subclasses,Feature
Merge pull request #310 from bvaughn/track-changed-props,Other
Added an explicit 'did not render' label,Feature
Tweaked a few inline comments,Other
Fix minor toolbar border misalignment,Bug Fix
"Only show ""rendered at"" if selected Fiber committed at least once",Other
Added context changes to sidebar; fixed a initial-mount detection bug,Bug Fix
Fixed some minor CSS issues,Bug Fix
Added a test for added/removed props,Feature
Fixed an increment bug in sidebar for fiber-commits,Bug Fix
Added context support to change description,Feature
Remove dead code,Other
Fix lint,Bug Fix
Fixes,Bug Fix
Merge branch 'master' into legacy,Other
Rewrite to make it sturdier,Other
Initial change tracking implemented * User profiling setting * Background collects changed props/state (not added/removed or hooks yet) * Tests updated,Feature
Added HOC badges to Jest Store serialization,Feature
Added HOC filter test,Feature
Merge pull request #308 from bvaughn/dependabot/npm_and_yarn/js-yaml-3.13.1,Other
Bump js-yaml from 3.12.1 to 3.13.1,Other
Backend notifies the frontend of Storage API support. Frontend disables e.g. reload-and-profile based on this.,Other
Updated reload-and-profile temp key to use sessioStorage instead of localStorage,Other
Wrap all calls to localStorage/sessionStorage to avoid potential runtime errors,Other
[Flare] Improve runtime performance of hit target intersection (#15836),Other
[Fresh] Capture Hook signatures lazily on first render (#15832),Other
Fixed an overflow bug. Added mode-specific CSS style for Firefox.,Bug Fix
[Flare] Fix ES6 issues with IE11 (#15834),Bug Fix
[Fresh] Support classes by force-remounting them on edit (#15801),Other
Re-add plugin-transform-react-jsx-source plugin for tests,Feature
Changed react-window alias,Other
react-window sync flushes scroll updates,Other
Vendored react-window,Other
[Flare] Add basic Scroll event responder module (#15827),Feature
[Flare] Small Swipe/Drag fixes (#15825),Bug Fix
Rename ReactFeatureFlags to remove the `.fb` suffix. (#15826),Bug Fix
[React Native] Remove eventTypes from ReactNativeBridgeEventPlugin (#15802),Other
[Flare] EventPriority enum (#15823),Other
Removed __source info from production builds,Other
nit: a quick copy edit for an act() message/comment (#15805),Other
[Flare] Fix isTouchEvent (#15824),Bug Fix
"Tweaked manifest ""version_name"" logic",Other
fix: remove version_name from Firefox WebExtension manifest,Bug Fix
Merge pull request #295 from bvaughn/horizontal-compression,Other
[Events] Add support for events that are both user-blocking and continuous (#15811),Feature
Use Circle CI API v2 to get artifacts job ID (#15821),Other
[Flare] Fix nativeEvent.x/y for older browsers (#15820),Bug Fix
[Flare] Add event position properties to Hover responder (#15819),Feature
Add source location to debug logging info,Bug Fix
Display density preference updates :root fontSize,Other
Updated release script to be Workflow aware (#15809),Other
[Flare] Fix isPressWithinResponderRegion logic (#15808),Bug Fix
[Flare] Ignore keyboard interactions on text input children (#15810),Other
Decreased contrast of HOC badges in selected props panel,Other
Batched tweaks and bug fixes:,Bug Fix
chore: use jest-serializer-raw for react-fresh snapshots (#15806),Other
Simplified background highlight style now that corner radius has been removed from selected highlight,Other
Renamed <Guideline> to <SelectedTreeHighlight>,Other
Removed outdated comment and Eslint rule ignore,Other
Reset max indentation when entering/exiting the owner tree,Other
Add HOC component filter,Feature
Only shrink indentation. Don't increase it again. This avoids 'jumping'.,Other
[react-native] Rewrite Haste imports in RN shims and add .fb.js extension (#15786),Feature
Cap indentation increase at a max,Other
Removed Tree padding,Feature
Cache list rows by Element ID rather than index,Other
[ESLint] don't warn for Flow type variables (#15804),Other
Added HOC badge to owners list dropdown,Feature
Fixed box drawing chars comment,Bug Fix
Fixed a typo in string truncation util,Bug Fix
Cleaned up how we measure children and adjust indentation size,Other
Refactored badges to share code and show +count,Refactor
Added HOC badge to owners stack breadcrumbs,Feature
Disable guide/group highlight in owners tree  mode,Other
Removed debounce+animation from indentation adjustment,Other
Added debounce and animation for resize,Feature
Tweaked guideline background color style,Other
Tweaked a few styles,Other
Whoops I broke CI (updating snapshots),Other
Lots of tweaks Remove selected guideline in favor of background color for selected subtree. Add badges in grid format to selected elements prop panel. Show badges beside owners list.,Feature
[Events] Nested discrete events across systems,Other
Fix casing of shouldflushDiscreteUpdates,Bug Fix
"Switch to ""discrete"" and ""continuous"" terminology",Other
WorkPhase -> ExecutionContext,Other
[Flare] Remove deprecated keypress event (#15795),Other
"Revert ""Re-added indent lines""",Feature
React Events: allow Tab+Alt on Mac in Focus responder (#15679),Other
Re-added indent lines,Feature
Initial POC for compressing horizontal offset for wide/deep trees,Other
Add some support for reordering,Feature
Remove crawling for updates,Other
Default to showing host nodes for legacy renderer,Other
Remove unnecessary code for host text as we skip it anyway,Other
[Suspense] Change Suspending and Restarting Heuristics (#15769),Other
Show indent lines preference,Other
Remove hover guideline in favor of showing guidelines for every nesting level,Other
Fixed bad Bridge disconnections,Bug Fix
Turn off pointer events for guidelines,Other
Added selected and hovered guidelines to Components tree,Feature
Fix sizebot (#15771),Bug Fix
React Events: check window before using navigator (#15768),Other
Move fixtures test to its own CI job,Bug Fix
React Events: support legacy browser Spacebar key value (#15766),Other
using the wrong renderer's act() should warn (#15756),Other
Update name of CI job in sizebot (#15767),Other
Parallelizes the build script across multiple processes (#15716),Other
Backed out Bridge shutdown refactor as it seems to have introduced bugs,Bug Fix
Don't extract errors in CI (#15758),Other
Lint rule for unminified errors (#15757),Other
[Flare] Adds onContextMenu and fixes some contextmenu related issues (#15761),Bug Fix
[Fresh] Generate signatures for Hooks (#15733),Other
Clean up (#15755),Other
Tweaks,Other
prettier,Other
pass tests and flow,Other
Merge remote-tracking branch 'upstream/master' into act-async,Other
[Suspense] Add Batched Mode variant to fuzz tester (#15734),Feature
Fix double spaces. (#15641),Bug Fix
Updated Chrome installation,Other
Adds test for #15732. (#15747),Feature
[Flare] Deeply prevent default on anchor elements (#15750),Other
[Flare] More fixes for getAbsoluteBoundingClientRect (#15746),Bug Fix
Merged master,Other
Added  and view-source support for Memo components,Feature
Added another (disabled) test; refactored getChildren slightly,Feature
Merged master,Other
Remove sizebot race condition (#15735),Other
Decreased contrast of disabled button icons to look more obviously disabled,Other
Updated profiler overview,Other
Added section about inspecting element to OVERVIEW,Feature
[Fresh] Babel plugin now handles HOCs + add integration tests (#15724),Feature
Merge pull request #289 from bvaughn/cache-inspected-element,Other
Reorganize inspected element state vars slightly,Other
Don't (re)serialize inspected elements either unless they have re-rendered since last inspected.,Other
Cache inspected element data until it is updated,Other
Typo in CircleCI config,Other
